DATA;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
01/01/2025;0000 UTC;0;966;966;965,4;;27;21,7;28,4;27;21,8;20,9;73;64;73;43;1,4;0,6
01/01/2025;0100 UTC;0;966,9;966,9;966;;25,8;22,6;27;25,8;22,6;21,7;83;74;83;76;3;1,5
01/01/2025;0200 UTC;0;967,4;967,4;966,9;;26;22,5;26,1;25,6;22,7;22,3;84;80;81;70;3;1,3
01/01/2025;0300 UTC;0;967,7;967,8;967,4;;25,9;22,6;26,1;25,8;22,7;22,5;83;81;82;46;3,6;0,9
01/01/2025;0400 UTC;0;967,2;967,7;967,2;;25,5;22,5;26;25,5;22,6;22,4;83;81;83;19;4,8;1
01/01/2025;0500 UTC;0;966,8;967,3;966,8;;25,3;22,5;25,6;25,3;22,5;22,4;84;83;84;;;
01/01/2025;0600 UTC;0;966,4;966,8;966,4;;25,1;22,4;25,3;24,9;22,5;22,4;86;84;85;;;
01/01/2025;0700 UTC;0;966,3;966,4;966,2;;25,2;22,2;25,3;25;22,4;22,2;85;83;84;;;
01/01/2025;0800 UTC;0;966,6;966,6;966,3;;25;22;25,2;24,8;22,2;22;85;83;84;;;
01/01/2025;0900 UTC;0;967,5;967,5;966,6;;23,9;21,9;25;23,9;22,2;21,9;89;83;89;;;
01/01/2025;1000 UTC;0;968,4;968,4;967,5;53,4;23,7;22,2;23,9;23,7;22,3;21,9;92;89;92;;;
01/01/2025;1100 UTC;0;968,9;968,9;968,4;615,3;24,3;22,1;24,3;23,5;22,3;21,7;93;88;88;;;
01/01/2025;1200 UTC;0,2;969,8;969,8;968,9;1050;24,9;22;25;24,2;22,3;21,6;88;83;84;;;
01/01/2025;1300 UTC;0;970;970;969,8;1005,8;26,4;22,5;26,4;24,9;22,6;21,7;85;79;79;279;;1,5
01/01/2025;1400 UTC;0;970,3;970,3;969,9;2547;28,9;22,8;29;26;23;21,6;80;67;70;79;5,2;1
01/01/2025;1500 UTC;0;969,4;970,4;969,4;3235,8;29,4;22,2;30,2;28,6;23,3;21,3;71;60;65;17;6;1,2
01/01/2025;1600 UTC;0;968;969,4;968;2399,2;31;23,2;31;29;23,7;21,9;71;62;63;294;5,9;1,2
01/01/2025;1700 UTC;0;966,9;968;966,9;1469,8;29,7;23,4;31;29,2;23,4;21,3;70;61;69;;;
01/01/2025;1800 UTC;;;;;;;;;;;;;;;;;
01/01/2025;1900 UTC;13,2;966;966,9;966;156,5;23,3;22,5;25,8;22,3;23,1;20,4;95;83;95;40;8,6;1
01/01/2025;2000 UTC;0,2;965,4;966;965;169,6;24,2;22,9;24,3;23,3;23,4;22,5;95;93;93;136;3,8;1,1
01/01/2025;2100 UTC;0;965,2;965,5;965,2;213,3;24,5;23;24,5;24,1;23,1;22,7;93;91;91;85;2,3;1,1
01/01/2025;2200 UTC;0;966;966;965,2;137,1;24,5;23;24,6;24,4;23,3;22,7;93;90;92;28;1,7;0,7
01/01/2025;2300 UTC;0;966;966,1;966;1,2;24,1;23;24,5;24,1;23,4;22,9;94;91;93;270;2,4;1,2
02/01/2025;0000 UTC;0;966,3;966,3;965,9;;24;22,9;24,1;23,8;22,9;22,7;94;93;94;282;2,4;0,9
02/01/2025;0100 UTC;0;968;968;966,3;;23,9;22,5;24,1;23,9;22,9;22,5;94;92;92;343;2,4;0,4
02/01/2025;0200 UTC;0;969,5;969,5;968;;24,4;22,7;24,4;23,8;22,9;22,5;93;90;90;333;2,4;1,2
02/01/2025;0300 UTC;0;969,6;969,6;969,5;;23,9;22,5;24,4;23,9;22,6;22,4;92;90;92;342;2,4;0,9
02/01/2025;0400 UTC;0,2;968,7;969,6;968,7;;23,6;22,2;23,9;23,6;22,5;22,2;93;92;92;306;3,1;1,2
02/01/2025;0500 UTC;0;968;968,7;968;;23,3;22;23,6;23,3;22,2;22;93;92;93;287;4;1,7
02/01/2025;0600 UTC;0;968,1;968,2;967,9;;23,1;21,8;23,3;23,1;22;21,8;93;92;92;264;4;1,3
02/01/2025;0700 UTC;0;967,6;968,1;967,6;;23;21,9;23,1;23;22;21,8;94;93;94;247;4;0,6
02/01/2025;0800 UTC;0;967,5;967,7;967,5;;23,1;22,1;23,1;23;22,1;21,9;94;94;94;269;1,6;0,4
02/01/2025;0900 UTC;0;968,3;968,3;967,4;;23,1;22,1;23,1;23;22,1;22;94;94;94;281;2,1;0,3
02/01/2025;1000 UTC;0;969,2;969,2;968,3;24,1;23,3;22,2;23,3;23,1;22,2;22,1;94;93;93;203;1,1;0,4
02/01/2025;1100 UTC;0;970,5;970,5;969,2;256,8;24;22,3;24;23,3;22,5;22,1;93;90;90;119;1,3;0,3
02/01/2025;1200 UTC;0;971,4;971,4;970,5;305;23,8;22,5;24,2;23,8;22,5;21,8;92;87;92;32;3,2;1,9
02/01/2025;1300 UTC;0;972,2;972,2;971,4;577,9;24;22,1;24,4;23,7;22,8;21,9;93;89;89;53;5,2;3,5
02/01/2025;1400 UTC;2,8;972,5;972,6;972,2;612,7;21,6;20,5;24,4;21,5;22,4;20,3;94;85;94;18;6,5;3,6
02/01/2025;1500 UTC;4,6;972,3;972,6;972,3;721,4;22,1;20,9;22,1;21,4;21;20,4;95;92;93;323;7,8;3
02/01/2025;1600 UTC;0,2;971,4;972,3;971,4;742,2;22,4;21,1;22,5;22,1;21,2;20,7;93;90;92;324;6,2;1,9
02/01/2025;1700 UTC;0,6;969,9;971,4;969,9;1012;22,7;20,8;22,7;22,1;21,1;20,3;93;88;89;345;4,8;2,3
02/01/2025;1800 UTC;0;968;969,9;968;1251;24,1;21,1;24,1;22,6;21,1;20,1;89;80;83;337;4,2;2
02/01/2025;1900 UTC;0;966,6;968;966,6;2023,5;26,1;20,4;26,4;24,1;22;20,2;84;70;71;351;3,9;1,7
02/01/2025;2000 UTC;0;966,6;966,7;966,6;1019,6;26,4;20,9;27;25,9;21,3;20;73;66;72;251;3;1
02/01/2025;2100 UTC;0;966,9;966,9;966,6;505,3;25,8;20,6;26,4;25,8;21,2;19,9;74;69;73;299;2,3;1
