DATA;HORA;RADIACA;TEMPERATURA
01/01/2017;00:00;-9999;26.2
01/01/2017;01:00;-9999;25.2
01/01/2017;02:00;-9999;25.2
01/01/2017;03:00;-9999;25.6
01/01/2017;04:00;-9999;25.7
01/01/2017;05:00;-9999;25.6
01/01/2017;06:00;-9999;24.3
01/01/2017;07:00;-9999;24.4
01/01/2017;08:00;-9999;24.6
01/01/2017;09:00;-9999;24.1
01/01/2017;10:00;61.9;23.7
01/01/2017;11:00;514.1;25.1
01/01/2017;12:00;1154.5;26.6
01/01/2017;13:00;2589.3;29.3
01/01/2017;14:00;2857.5;29.4
01/01/2017;15:00;3054.7;30.9
01/01/2017;16:00;3179;31.5
01/01/2017;17:00;2117.5;31.2
01/01/2017;18:00;1636.1;32.4
01/01/2017;19:00;679.6;29.5
01/01/2017;20:00;182.5;27.2
01/01/2017;21:00;249.5;25.4
01/01/2017;22:00;115;25.5
01/01/2017;23:00;-9999;24.1
02/01/2017;00:00;-9999;21.9
02/01/2017;01:00;-9999;22.4
02/01/2017;02:00;0;22.1
02/01/2017;03:00;-9999;22.3
02/01/2017;04:00;-9999;22.3
02/01/2017;05:00;-9999;22.4
02/01/2017;06:00;-9999;22.3
02/01/2017;07:00;-9999;22.2
02/01/2017;08:00;-9999;22.2
02/01/2017;09:00;-9999;22.1
02/01/2017;10:00;70.6;22
02/01/2017;11:00;521.1;23.6
02/01/2017;12:00;1547.4;25.9
02/01/2017;13:00;1728;27.1
02/01/2017;14:00;2741.1;28.6
02/01/2017;15:00;3422.4;29.5
02/01/2017;16:00;3566.9;30.8
02/01/2017;17:00;3343.8;30.9
02/01/2017;18:00;3223.8;32.5
02/01/2017;19:00;1769.7;31.1
02/01/2017;20:00;1001.1;29.5
02/01/2017;21:00;351.6;30
02/01/2017;22:00;100.8;27.5
02/01/2017;23:00;-9999;26.5
03/01/2017;00:00;-9999;26.2
03/01/2017;01:00;-9999;25.8
03/01/2017;02:00;-9999;24.8
03/01/2017;03:00;-9999;24.8
03/01/2017;04:00;-9999;24.6
03/01/2017;05:00;-9999;23.8
03/01/2017;06:00;-9999;23.3
03/01/2017;07:00;-9999;23.1
03/01/2017;08:00;-9999;22.8
03/01/2017;09:00;-9999;22.4
03/01/2017;10:00;53.5;21.6
03/01/2017;11:00;487.5;22.9
03/01/2017;12:00;1089.6;25.8
03/01/2017;13:00;2380.9;28.2
03/01/2017;14:00;1613.8;28
03/01/2017;15:00;1487.9;29
03/01/2017;16:00;2586.4;31.1
03/01/2017;17:00;3473.8;32.3
03/01/2017;18:00;2603.5;32.9
03/01/2017;19:00;2599.3;31.9
03/01/2017;20:00;2020.1;32.5
03/01/2017;21:00;697.1;31.3
03/01/2017;22:00;282.4;29.6
03/01/2017;23:00;0.2;28.1
04/01/2017;00:00;-9999;28.4
04/01/2017;01:00;-9999;27.6
04/01/2017;02:00;-9999;26.9
04/01/2017;03:00;-9999;26.2
04/01/2017;04:00;-9999;25.5
04/01/2017;05:00;-9999;24.9
04/01/2017;06:00;1.9;20.5
04/01/2017;07:00;-9999;20.8
04/01/2017;08:00;-9999;20.9
04/01/2017;09:00;-9999;21.3
04/01/2017;10:00;34.1;21.4
04/01/2017;11:00;317.2;22
04/01/2017;12:00;935.6;23.5
04/01/2017;13:00;2228.2;26.6
04/01/2017;14:00;2520.8;28.6
04/01/2017;15:00;3198.1;30.3
