DATA;HORA;RADIACAO;TEMPERATURA
01/01/2020;0000 UTC;;25.1
01/01/2020;0100 UTC;;24.7
01/01/2020;0200 UTC;;24.4
01/01/2020;0300 UTC;;24.2
01/01/2020;0400 UTC;;23.6
01/01/2020;0500 UTC;;23.4
01/01/2020;0600 UTC;;23
01/01/2020;0700 UTC;;22.7
01/01/2020;0800 UTC;;22.2
01/01/2020;0900 UTC;;22.1
01/01/2020;1000 UTC;49.5;22.5
01/01/2020;1100 UTC;603.2;24.1
01/01/2020;1200 UTC;1430.8;26.8
01/01/2020;1300 UTC;1932.3;27.9
01/01/2020;1400 UTC;1887.1;29.1
01/01/2020;1500 UTC;2703.4;29
01/01/2020;1600 UTC;1189.5;29.5
01/01/2020;1700 UTC;2487.6;29
01/01/2020;1800 UTC;2252.3;31
01/01/2020;1900 UTC;2285.9;27.1
01/01/2020;2000 UTC;1543.6;26.7
01/01/2020;2100 UTC;579.2;26.1
01/01/2020;2200 UTC;208;25.2
01/01/2020;2300 UTC;0.4;24.6
02/01/2020;0000 UTC;;24.4
02/01/2020;0100 UTC;;24
02/01/2020;0200 UTC;;23.8
02/01/2020;0300 UTC;;23.4
02/01/2020;0400 UTC;;23.3
02/01/2020;0500 UTC;;23
02/01/2020;0600 UTC;;22.9
02/01/2020;0700 UTC;;22.9
02/01/2020;0800 UTC;0.7;22.9
02/01/2020;0900 UTC;;22.8
02/01/2020;1000 UTC;41.4;22.9
02/01/2020;1100 UTC;374.6;23.5
02/01/2020;1200 UTC;962.3;24.8
02/01/2020;1300 UTC;1629.2;26.4
02/01/2020;1400 UTC;2017.5;26.1
02/01/2020;1500 UTC;2399.2;27.6
02/01/2020;1600 UTC;2388;27.8
02/01/2020;1700 UTC;3051.4;30
02/01/2020;1800 UTC;1818.3;25.6
02/01/2020;1900 UTC;1965.2;25.3
02/01/2020;2000 UTC;754.2;24.7
02/01/2020;2100 UTC;1091.9;27.2
02/01/2020;2200 UTC;317;25.3
02/01/2020;2300 UTC;2.9;24.4
03/01/2020;0000 UTC;;24.2
03/01/2020;0100 UTC;;24.1
03/01/2020;0200 UTC;;23.7
03/01/2020;0300 UTC;;23.7
03/01/2020;0400 UTC;;23.5
03/01/2020;0500 UTC;;23.2
03/01/2020;0600 UTC;;22.9
03/01/2020;0700 UTC;;22.8
03/01/2020;0800 UTC;;22.7
03/01/2020;0900 UTC;;22.8
03/01/2020;1000 UTC;37.1;22.8
03/01/2020;1100 UTC;295.1;23.4
03/01/2020;1200 UTC;706.7;24.7
03/01/2020;1300 UTC;1362.5;25
03/01/2020;1400 UTC;1146.7;26.6
03/01/2020;1500 UTC;1367.7;25.9
03/01/2020;1600 UTC;1226.5;26.5
03/01/2020;1700 UTC;985.5;25.3
03/01/2020;1800 UTC;1920.1;27.9
03/01/2020;1900 UTC;1628.4;28
03/01/2020;2000 UTC;1229.5;28.7
03/01/2020;2100 UTC;592.6;27.4
03/01/2020;2200 UTC;176.5;26
03/01/2020;2300 UTC;0.3;24.5
04/01/2020;0000 UTC;;24.2
04/01/2020;0100 UTC;;24
04/01/2020;0200 UTC;;23.8
04/01/2020;0300 UTC;;23.6
04/01/2020;0400 UTC;;23.3
04/01/2020;0500 UTC;;23.4
04/01/2020;0600 UTC;;23.2
04/01/2020;0700 UTC;;23
04/01/2020;0800 UTC;;23
04/01/2020;0900 UTC;;22.8
04/01/2020;1000 UTC;16.3;22.9
04/01/2020;1100 UTC;131.1;22.9
04/01/2020;1200 UTC;210.3;22.8
