DATA;HORA;RADIACAO;TEMPERATURA
01/01/2016;00:00;-9999;22.1
01/01/2016;01:00;-9999;22.2
01/01/2016;02:00;-9999;22.3
01/01/2016;03:00;-9999;22.1
01/01/2016;04:00;-9999;22.2
01/01/2016;05:00;-9999;22.3
01/01/2016;06:00;-9999;22.2
01/01/2016;07:00;-9999;22.5
01/01/2016;08:00;-9999;22.1
01/01/2016;09:00;-9999;21.9
01/01/2016;10:00;19.6;22.4
01/01/2016;11:00;207;22.5
01/01/2016;12:00;543.8;22.9
01/01/2016;13:00;863.6;22.9
01/01/2016;14:00;1064.8;23.6
01/01/2016;15:00;1928.2;23.8
01/01/2016;16:00;2271.9;21.8
01/01/2016;17:00;794.9;21
01/01/2016;18:00;341.3;22.1
01/01/2016;19:00;966.5;23.1
01/01/2016;20:00;1032.5;22.9
01/01/2016;21:00;1104.4;22.5
01/01/2016;22:00;279.7;22.6
01/01/2016;23:00;-9999;22.3
02/01/2016;00:00;-9999;22.2
02/01/2016;01:00;-9999;22
02/01/2016;02:00;-9999;22.3
02/01/2016;03:00;-9999;22.4
02/01/2016;04:00;-9999;22.4
02/01/2016;05:00;-9999;22.4
02/01/2016;06:00;-9999;22.5
02/01/2016;07:00;-9999;22.5
02/01/2016;08:00;-9999;22.4
02/01/2016;09:00;-9999;22.3
02/01/2016;10:00;27.6;22.3
02/01/2016;11:00;299.9;22.4
02/01/2016;12:00;1255.1;22.3
02/01/2016;13:00;1237.5;22.6
02/01/2016;14:00;1609.3;22.9
02/01/2016;15:00;932.3;22.7
02/01/2016;16:00;1318.7;22.3
02/01/2016;17:00;2096.9;22.4
02/01/2016;18:00;2310.4;22.5
02/01/2016;19:00;2571.2;22.1
02/01/2016;20:00;1692;22.3
02/01/2016;21:00;551.2;22.5
02/01/2016;22:00;328.8;22.4
02/01/2016;23:00;-9999;21.8
03/01/2016;00:00;-9999;21.7
03/01/2016;01:00;-9999;21.4
03/01/2016;02:00;-9999;21.1
