ano;safra;area_plantada_mil_ha;producao_mil_t;Produtividade_Anual;;;
2002;1ª Safra;176.0;772.0;4.4;;;
2002;2ª Safra;704.0;2456.0;3.5;;;
2003;1ª Safra;162.0;678.0;4.2;;;
2003;2ª Safra;809.0;2768.0;3.4;;;
2004;1ª Safra;134.0;471.0;3.5;;;
2004;2ª Safra;925.0;2914.0;3.2;;;
2005;1ª Safra;136.0;475.0;3.5;;;
2005;2ª Safra;911.0;3553.0;3.9;;;
2006;1ª Safra;171.0;791.0;4.6;;;
2006;2ª Safra;1421.0;5074.0;3.6;;;
2007;1ª Safra;179.0;790.0;4.4;;;
2007;2ª Safra;1656.0;7016.0;4.2;;;
2008;1ª Safra;131.0;531.0;4.1;;; 
2008;2ª Safra;1509.0;7551.0;5.0;;;
2009;1ª Safra;85.0;409.0;4.8;;;
2009;2ª Safra;1905.0;7709.0;4.0;;;
2010;1ª Safra;62.0;366.0;5.9;;;
2010;2ª Safra;1836.0;7253.0;4.0;;;
2011;1ª Safra;94.0;584.0;6.2;;;
2011;2ª Safra;2645.0;15026.0;5.7;;;
2012;1ª Safra;76.0;535.0;7.0;;;
2012;2ª Safra;3349.0;19358.0;5.8;;;
2013;1ª Safra;68.0;422.0;6.2;;;
2013;2ª Safra;3230.0;17627.0;5.5;;;
2014;1ª Safra;64.0;458.0;7.2;;;
2014;2ª Safra;3353.0;20305.0;6.1;;;
2015;1ª Safra;48.0;307.0;6.4;;;
2015;2ª Safra;3560.0;15657.0;4.4;;;
2016;1ª Safra;33.0;256.0;7.8;;;
2016;2ª Safra;4606.0;28611.0;6.2;;;
2017;1ª Safra;27.0;199.0;7.4;;;
2017;2ª Safra;4471.0;26201.0;5.9;;;
2018;1ª Safra;37.0;262.0;7.1;;;
2018;2ª Safra;4869.0;31045.0;6.4;;;
2019;1ª Safra;41.0;346.0;8.4;;;
2019;2ª Safra;5414.0;34609.0;6.4;;;
2019;3Âª Safra;0.0;0.0;0.0;;;
2020;1ª Safra;52.0;438.0;8.4;;;
2020;2ª Safra;5832.0;32806.0;5.6;;;
2020;3Âª Safra;0.0;0.0;0.0;;;
2021;1ª Safra;62.1;516.3;8.3;;;
2021;2ª Safra;6485.3;41103.8;6.3;;;
2021;3Âª Safra;0.0;0.0;0.0;;;
2022;1ª Safra;60.8;509.4;8.4;;;
2022;2ª Safra;7367.3;50731.2;6.9;;;
2022;3Âª Safra;0.0;0.0;0.0;;;
2023;1ª Safra;70.8;590.3;8.3;;;
2023;2ª Safra;6984.2;48204.9;6.9;;;
2023;3Âª Safra;0.0;0.0;0.0;;;
2024;1ª Safra;72.7;603.6;8.3;;;
2024;2ª Safra;7026.1;46175.5;6.6;;;
2024;3Âª Safra;0.0;0.0;0.0;;;
