Data,NDVI,PreFiltro,FlatBottom,mes,ano,AnoMes,NDVI_media_mensal
2000-02-18,0.6119,0.6542,0.6542,2,2000,2000-02,0.6119
2000-03-05,0.6542,0.6542,0.6542,3,2000,2000-03,0.6146499999999999
2000-03-21,0.5751,0.5751,0.6542,3,2000,2000-03,0.6146499999999999
2000-04-06,0.6839,0.6839,0.6839,4,2000,2000-04,0.5818
2000-04-22,0.4797,0.4797,0.4808,4,2000,2000-04,0.5818
2000-05-08,0.4808,0.4808,0.4808,5,2000,2000-05,0.4264
2000-05-24,0.372,0.372,0.372,5,2000,2000-05,0.4264
2000-06-09,0.3244,0.3244,0.3244,6,2000,2000-06,0.31310000000000004
2000-06-25,0.3018,0.3018,0.3018,6,2000,2000-06,0.31310000000000004
2000-07-11,0.2622,0.2622,0.2629,7,2000,2000-07,0.26255
2000-07-27,0.2629,0.2629,0.2629,7,2000,2000-07,0.26255
2000-08-12,0.2543,0.2543,0.2543,8,2000,2000-08,0.2599
2000-08-28,0.2655,0.2655,0.2655,8,2000,2000-08,0.2599
2000-09-13,0.2422,0.2422,0.2422,9,2000,2000-09,0.23925000000000002
2000-09-29,0.2363,0.2363,0.2422,9,2000,2000-09,0.23925000000000002
2000-10-15,0.2792,0.2792,0.2792,10,2000,2000-10,0.29710000000000003
2000-10-31,0.315,0.315,0.315,10,2000,2000-10,0.29710000000000003
2000-11-16,0.3481,0.4808,0.4808,11,2000,2000-11,0.3481
2000-12-02,0.1229,0.6467,0.6467,12,2000,2000-12,0.4677
2000-12-18,0.8125,0.8125,0.8125,12,2000,2000-12,0.4677
2001-01-01,0.8125,0.8125,0.8125,1,2001,2001-01,0.6063000000000001
2001-01-17,0.4001,0.4001,0.7677,1,2001,2001-01,0.6063000000000001
2001-02-02,0.7677,0.7677,0.7677,2,2001,2001-02,0.72895
2001-02-18,0.6902,0.5699,0.5699,2,2001,2001-02,0.72895
2001-03-06,0.3721,0.3721,0.3721,3,2001,2001-03,0.36970000000000003
2001-03-22,0.3673,0.3673,0.3673,3,2001,2001-03,0.36970000000000003
2001-04-07,0.3868,0.3868,0.3868,4,2001,2001-04,0.42674999999999996
2001-04-23,0.4667,0.4667,0.4667,4,2001,2001-04,0.42674999999999996
2001-05-09,0.4275,0.4275,0.4667,5,2001,2001-05,0.52335
2001-05-25,0.6192,0.6192,0.6192,5,2001,2001-05,0.52335
2001-06-10,0.5357,0.5357,0.5357,6,2001,2001-06,0.4447
2001-06-26,0.3537,0.3537,0.3546,6,2001,2001-06,0.4447
2001-07-12,0.3546,0.3546,0.3546,7,2001,2001-07,0.32185
2001-07-28,0.2891,0.2891,0.2891,7,2001,2001-07,0.32185
2001-08-13,0.2708,0.2708,0.2708,8,2001,2001-08,0.28235
2001-08-29,0.2939,0.2939,0.2939,8,2001,2001-08,0.28235
2001-09-14,0.2689,0.2689,0.2939,9,2001,2001-09,0.33704999999999996
2001-09-30,0.4052,0.4052,0.4052,9,2001,2001-09,0.33704999999999996
2001-10-16,0.429,0.429,0.429,10,2001,2001-10,0.429
2001-11-01,0.4839,0.4839,0.4839,11,2001,2001-11,0.3674
2001-11-17,0.2509,0.5698,0.5698,11,2001,2001-11,0.3674
2001-12-03,0.5669,0.6557,0.6557,12,2001,2001-12,0.59565
2001-12-19,0.6244,0.7415,0.7415,12,2001,2001-12,0.59565
2002-01-01,0.8274,0.8274,0.8274,1,2002,2002-01,0.7515499999999999
2002-01-17,0.6757,0.6757,0.6757,1,2002,2002-01,0.7515499999999999
2002-02-02,0.5521,0.6542,0.6542,2,2002,2002-02,0.5924
2002-02-18,0.6327,0.6327,0.6327,2,2002,2002-02,0.5924
2002-03-06,0.6534,0.6534,0.6534,3,2002,2002-03,0.64905
2002-03-22,0.6447,0.6447,0.6447,3,2002,2002-03,0.64905
2002-04-07,0.444,0.444,0.4814,4,2002,2002-04,0.4627
2002-04-23,0.4814,0.4814,0.4814,4,2002,2002-04,0.4627
2002-05-09,0.4276,0.4276,0.4276,5,2002,2002-05,0.4121
2002-05-25,0.3966,0.3966,0.3966,5,2002,2002-05,0.4121
2002-06-10,0.3245,0.3245,0.3245,6,2002,2002-06,0.3013
2002-06-26,0.2781,0.2781,0.286,6,2002,2002-06,0.3013
2002-07-12,0.286,0.286,0.286,7,2002,2002-07,0.28615
2002-07-28,0.2863,0.2863,0.2863,7,2002,2002-07,0.28615
2002-08-13,0.2629,0.2629,0.2629,8,2002,2002-08,0.26615
2002-08-29,0.2694,0.2694,0.2694,8,2002,2002-08,0.26615
2002-09-14,0.3221,0.3221,0.3221,9,2002,2002-09,0.29910000000000003
2002-09-30,0.2761,0.2761,0.2761,9,2002,2002-09,0.29910000000000003
2002-10-16,0.2571,0.2571,0.2761,10,2002,2002-10,0.2571
2002-11-01,0.4557,0.4557,0.4557,11,2002,2002-11,0.49155
2002-11-17,0.5274,0.5274,0.5274,11,2002,2002-11,0.49155
2002-12-03,0.7976,0.7976,0.7976,12,2002,2002-12,0.8103
2002-12-19,0.823,0.823,0.823,12,2002,2002-12,0.8103
2003-01-01,0.8517,0.8517,0.8517,1,2003,2003-01,0.72185
2003-01-17,0.592,0.6863,0.6863,1,2003,2003-01,0.72185
2003-02-02,0.675,0.5208,0.5208,2,2003,2003-02,0.5152
2003-02-18,0.3554,0.3554,0.412,2,2003,2003-02,0.5152
2003-03-06,0.412,0.412,0.412,3,2003,2003-03,0.5659
2003-03-22,0.7198,0.7198,0.7198,3,2003,2003-03,0.5659
2003-04-07,0.7459,0.7459,0.7459,4,2003,2003-04,0.7061
2003-04-23,0.6663,0.6663,0.6663,4,2003,2003-04,0.7061
