Data,ANO,MES,AnoMes,NDVI,PreFiltro,FlatBottom,NDVI_media_mensal
2000-02-18,2000,2,2000-02,0.6119,0.6542,0.6542,0.6119
2000-03-05,2000,3,2000-03,0.6542,0.6542,0.6542,0.6146499999999999
2000-03-21,2000,3,2000-03,0.5751,0.5751,0.6542,0.6146499999999999
2000-04-06,2000,4,2000-04,0.6839,0.6839,0.6839,0.5818
2000-04-22,2000,4,2000-04,0.4797,0.4797,0.4808,0.5818
2000-05-08,2000,5,2000-05,0.4808,0.4808,0.4808,0.4264
2000-05-24,2000,5,2000-05,0.372,0.372,0.372,0.4264
2000-06-09,2000,6,2000-06,0.3244,0.3244,0.3244,0.31310000000000004
2000-06-25,2000,6,2000-06,0.3018,0.3018,0.3018,0.31310000000000004
2000-07-11,2000,7,2000-07,0.2622,0.2622,0.2629,0.26255
2000-07-27,2000,7,2000-07,0.2629,0.2629,0.2629,0.26255
2000-08-12,2000,8,2000-08,0.2543,0.2543,0.2543,0.2599
2000-08-28,2000,8,2000-08,0.2655,0.2655,0.2655,0.2599
2000-09-13,2000,9,2000-09,0.2422,0.2422,0.2422,0.23925000000000002
2000-09-29,2000,9,2000-09,0.2363,0.2363,0.2422,0.23925000000000002
2000-10-15,2000,10,2000-10,0.2792,0.2792,0.2792,0.29710000000000003
2000-10-31,2000,10,2000-10,0.315,0.315,0.315,0.29710000000000003
2000-11-16,2000,11,2000-11,0.3481,0.4808,0.4808,0.3481
2000-12-02,2000,12,2000-12,0.1229,0.6467,0.6467,0.4677
2000-12-18,2000,12,2000-12,0.8125,0.8125,0.8125,0.4677
2001-01-01,2001,1,2001-01,0.8125,0.8125,0.8125,0.6063000000000001
2001-01-17,2001,1,2001-01,0.4001,0.4001,0.7677,0.6063000000000001
2001-02-02,2001,2,2001-02,0.7677,0.7677,0.7677,0.72895
2001-02-18,2001,2,2001-02,0.6902,0.5699,0.5699,0.72895
2001-03-06,2001,3,2001-03,0.3721,0.3721,0.3721,0.36970000000000003
2001-03-22,2001,3,2001-03,0.3673,0.3673,0.3673,0.36970000000000003
2001-04-07,2001,4,2001-04,0.3868,0.3868,0.3868,0.42674999999999996
2001-04-23,2001,4,2001-04,0.4667,0.4667,0.4667,0.42674999999999996
2001-05-09,2001,5,2001-05,0.4275,0.4275,0.4667,0.52335
2001-05-25,2001,5,2001-05,0.6192,0.6192,0.6192,0.52335
2001-06-10,2001,6,2001-06,0.5357,0.5357,0.5357,0.4447
2001-06-26,2001,6,2001-06,0.3537,0.3537,0.3546,0.4447
2001-07-12,2001,7,2001-07,0.3546,0.3546,0.3546,0.32185
2001-07-28,2001,7,2001-07,0.2891,0.2891,0.2891,0.32185
2001-08-13,2001,8,2001-08,0.2708,0.2708,0.2708,0.28235
2001-08-29,2001,8,2001-08,0.2939,0.2939,0.2939,0.28235
2001-09-14,2001,9,2001-09,0.2689,0.2689,0.2939,0.33704999999999996
2001-09-30,2001,9,2001-09,0.4052,0.4052,0.4052,0.33704999999999996
2001-10-16,2001,10,2001-10,0.429,0.429,0.429,0.429
2001-11-01,2001,11,2001-11,0.4839,0.4839,0.4839,0.3674
2001-11-17,2001,11,2001-11,0.2509,0.5698,0.5698,0.3674
2001-12-03,2001,12,2001-12,0.5669,0.6557,0.6557,0.59565
2001-12-19,2001,12,2001-12,0.6244,0.7415,0.7415,0.59565
2002-01-01,2002,1,2002-01,0.8274,0.8274,0.8274,0.7515499999999999
2002-01-17,2002,1,2002-01,0.6757,0.6757,0.6757,0.7515499999999999
2002-02-02,2002,2,2002-02,0.5521,0.6542,0.6542,0.5924
2002-02-18,2002,2,2002-02,0.6327,0.6327,0.6327,0.5924
2002-03-06,2002,3,2002-03,0.6534,0.6534,0.6534,0.64905
2002-03-22,2002,3,2002-03,0.6447,0.6447,0.6447,0.64905
2002-04-07,2002,4,2002-04,0.444,0.444,0.4814,0.4627
2002-04-23,2002,4,2002-04,0.4814,0.4814,0.4814,0.4627
2002-05-09,2002,5,2002-05,0.4276,0.4276,0.4276,0.4121
2002-05-25,2002,5,2002-05,0.3966,0.3966,0.3966,0.4121
2002-06-10,2002,6,2002-06,0.3245,0.3245,0.3245,0.3013
2002-06-26,2002,6,2002-06,0.2781,0.2781,0.286,0.3013
2002-07-12,2002,7,2002-07,0.286,0.286,0.286,0.28615
2002-07-28,2002,7,2002-07,0.2863,0.2863,0.2863,0.28615
2002-08-13,2002,8,2002-08,0.2629,0.2629,0.2629,0.26615
2002-08-29,2002,8,2002-08,0.2694,0.2694,0.2694,0.26615
2002-09-14,2002,9,2002-09,0.3221,0.3221,0.3221,0.29910000000000003
2002-09-30,2002,9,2002-09,0.2761,0.2761,0.2761,0.29910000000000003
2002-10-16,2002,10,2002-10,0.2571,0.2571,0.2761,0.2571
2002-11-01,2002,11,2002-11,0.4557,0.4557,0.4557,0.49155
2002-11-17,2002,11,2002-11,0.5274,0.5274,0.5274,0.49155
2002-12-03,2002,12,2002-12,0.7976,0.7976,0.7976,0.8103
2002-12-19,2002,12,2002-12,0.823,0.823,0.823,0.8103
2003-01-01,2003,1,2003-01,0.8517,0.8517,0.8517,0.72185
2003-01-17,2003,1,2003-01,0.592,0.6863,0.6863,0.72185
2003-02-02,2003,2,2003-02,0.675,0.5208,0.5208,0.5152
2003-02-18,2003,2,2003-02,0.3554,0.3554,0.412,0.5152
2003-03-06,2003,3,2003-03,0.412,0.412,0.412,0.5659
2003-03-22,2003,3,2003-03,0.7198,0.7198,0.7198,0.5659
2003-04-07,2003,4,2003-04,0.7459,0.7459,0.7459,0.7061
2003-04-23,2003,4,2003-04,0.6663,0.6663,0.6663,0.7061
2003-05-09,2003,5,2003-05,0.5635,0.5635,0.5635,0.5232
2003-05-25,2003,5,2003-05,0.4829,0.4829,0.4829,0.5232
2003-06-10,2003,6,2003-06,0.3692,0.3692,0.3692,0.34814999999999996
2003-06-26,2003,6,2003-06,0.3271,0.3271,0.3271,0.34814999999999996
2003-07-12,2003,7,2003-07,0.2974,0.2974,0.2974,0.28305
2003-07-28,2003,7,2003-07,0.2687,0.2687,0.2687,0.28305
2003-08-13,2003,8,2003-08,0.2864,0.2864,0.2864,0.2742
2003-08-29,2003,8,2003-08,0.262,0.262,0.2864,0.2742
2003-09-14,2003,9,2003-09,0.3085,0.3085,0.3085,0.30574999999999997
2003-09-30,2003,9,2003-09,0.303,0.303,0.3085,0.30574999999999997
2003-10-16,2003,10,2003-10,0.0758,0.4438,0.4438,0.0758
2003-11-01,2003,11,2003-11,0.5846,0.5846,0.5846,0.5999
2003-11-17,2003,11,2003-11,0.6152,0.7155,0.7155,0.5999
2003-12-03,2003,12,2003-12,0.8463,0.8463,0.8463,0.8246500000000001
2003-12-19,2003,12,2003-12,0.803,0.8094,0.8094,0.8246500000000001
2004-01-01,2004,1,2004-01,0.803,0.7724,0.7724,0.6723
2004-01-17,2004,1,2004-01,0.5416,0.7355,0.7355,0.6723
2004-02-02,2004,2,2004-02,0.1222,0.6986,0.6986,0.09795000000000001
2004-02-18,2004,2,2004-02,0.0737,0.6616,0.6616,0.09795000000000001
2004-03-05,2004,3,2004-03,0.6247,0.6247,0.6247,0.5672
2004-03-21,2004,3,2004-03,0.5097,0.6725,0.6725,0.5672
2004-04-06,2004,4,2004-04,0.7204,0.7204,0.7204,0.6553500000000001
2004-04-22,2004,4,2004-04,0.5903,0.5903,0.5903,0.6553500000000001
2004-05-08,2004,5,2004-05,0.4724,0.4724,0.4724,0.4467
2004-05-24,2004,5,2004-05,0.421,0.421,0.421,0.4467
2004-06-09,2004,6,2004-06,0.3596,0.3596,0.3596,0.33499999999999996
2004-06-25,2004,6,2004-06,0.3104,0.3104,0.323,0.33499999999999996
2004-07-11,2004,7,2004-07,0.323,0.323,0.323,0.3189
2004-07-27,2004,7,2004-07,0.3148,0.3148,0.3148,0.3189
2004-08-12,2004,8,2004-08,0.2992,0.2992,0.2992,0.2954
2004-08-28,2004,8,2004-08,0.2916,0.2916,0.2916,0.2954
2004-09-13,2004,9,2004-09,0.3018,0.3018,0.3018,0.3319
2004-09-29,2004,9,2004-09,0.362,0.362,0.362,0.3319
2004-10-15,2004,10,2004-10,0.3826,0.4847,0.4847,0.3831
2004-10-31,2004,10,2004-10,0.3836,0.6075,0.6075,0.3831
2004-11-16,2004,11,2004-11,0.7302,0.7302,0.7302,0.7302
2004-12-02,2004,12,2004-12,0.7414,0.7414,0.7414,0.6068
2004-12-18,2004,12,2004-12,0.4722,0.7946,0.7946,0.6068
2005-01-01,2005,1,2005-01,0.8478,0.8478,0.8478,0.6285000000000001
2005-01-17,2005,1,2005-01,0.4092,0.4092,0.5026,0.6285000000000001
2005-02-02,2005,2,2005-02,0.5714,0.5026,0.5026,0.38515
2005-02-18,2005,2,2005-02,0.1989,0.596,0.596,0.38515
2005-03-06,2005,3,2005-03,0.6894,0.6894,0.6894,0.65465
2005-03-22,2005,3,2005-03,0.6199,0.6199,0.6761,0.65465
2005-04-07,2005,4,2005-04,0.6761,0.6761,0.6761,0.6950000000000001
2005-04-23,2005,4,2005-04,0.7139,0.7139,0.7139,0.6950000000000001
2005-05-09,2005,5,2005-05,0.6132,0.6132,0.6132,0.47004999999999997
2005-05-25,2005,5,2005-05,0.3269,0.3269,0.3269,0.47004999999999997
2005-06-10,2005,6,2005-06,0.3111,0.3111,0.3111,0.3085
2005-06-26,2005,6,2005-06,0.3059,0.3059,0.3059,0.3085
2005-07-12,2005,7,2005-07,0.2742,0.2742,0.2861,0.28015
2005-07-28,2005,7,2005-07,0.2861,0.2861,0.2861,0.28015
2005-08-13,2005,8,2005-08,0.2474,0.2474,0.2824,0.2649
2005-08-29,2005,8,2005-08,0.2824,0.2824,0.2824,0.2649
2005-09-14,2005,9,2005-09,0.3088,0.3088,0.3088,0.31525000000000003
2005-09-30,2005,9,2005-09,0.3217,0.3217,0.3217,0.31525000000000003
2005-10-16,2005,10,2005-10,0.299,0.299,0.3217,0.299
2005-11-01,2005,11,2005-11,0.3901,0.3901,0.3901,0.44075
2005-11-17,2005,11,2005-11,0.4914,0.4914,0.4914,0.44075
2005-12-03,2005,12,2005-12,0.7481,0.6058,0.6058,0.6727000000000001
2005-12-19,2005,12,2005-12,0.5973,0.7203,0.7203,0.6727000000000001
2006-01-01,2006,1,2006-01,0.8347,0.8347,0.8347,0.7468
2006-01-17,2006,1,2006-01,0.6589,0.6589,0.6589,0.7468
2006-02-02,2006,2,2006-02,0.1717,0.6491,0.6491,0.1757
2006-02-18,2006,2,2006-02,0.1797,0.6393,0.6393,0.1757
2006-03-06,2006,3,2006-03,0.3063,0.6296,0.6296,0.41545
2006-03-22,2006,3,2006-03,0.5246,0.6198,0.6198,0.41545
2006-04-07,2006,4,2006-04,-0.3,0.61,0.6198,0.19775
2006-04-23,2006,4,2006-04,0.6955,0.6955,0.6955,0.19775
2006-05-09,2006,5,2006-05,0.6066,0.6066,0.6066,0.50545
