Data;NDVI;PreFiltro;FlatBottom
18/02/2000;0,6119;0,6542;0,6542
05/03/2000;0,6542;0,6542;0,6542
21/03/2000;0,5751;0,5751;0,6542
06/04/2000;0,6839;0,6839;0,6839
22/04/2000;0,4797;0,4797;0,4808
08/05/2000;0,4808;0,4808;0,4808
24/05/2000;0,372;0,372;0,372
09/06/2000;0,3244;0,3244;0,3244
25/06/2000;0,3018;0,3018;0,3018
11/07/2000;0,2622;0,2622;0,2629
27/07/2000;0,2629;0,2629;0,2629
12/08/2000;0,2543;0,2543;0,2543
28/08/2000;0,2655;0,2655;0,2655
13/09/2000;0,2422;0,2422;0,2422
29/09/2000;0,2363;0,2363;0,2422
15/10/2000;0,2792;0,2792;0,2792
31/10/2000;0,315;0,315;0,315
16/11/2000;0,3481;0,4808;0,4808
02/12/2000;0,1229;0,6467;0,6467
18/12/2000;0,8125;0,8125;0,8125
01/01/2001;0,8125;0,8125;0,8125
17/01/2001;0,4001;0,4001;0,7677
02/02/2001;0,7677;0,7677;0,7677
18/02/2001;0,6902;0,5699;0,5699
06/03/2001;0,3721;0,3721;0,3721
22/03/2001;0,3673;0,3673;0,3673
07/04/2001;0,3868;0,3868;0,3868
23/04/2001;0,4667;0,4667;0,4667
09/05/2001;0,4275;0,4275;0,4667
25/05/2001;0,6192;0,6192;0,6192
10/06/2001;0,5357;0,5357;0,5357
26/06/2001;0,3537;0,3537;0,3546
12/07/2001;0,3546;0,3546;0,3546
28/07/2001;0,2891;0,2891;0,2891
13/08/2001;0,2708;0,2708;0,2708
29/08/2001;0,2939;0,2939;0,2939
14/09/2001;0,2689;0,2689;0,2939
30/09/2001;0,4052;0,4052;0,4052
16/10/2001;0,429;0,429;0,429
01/11/2001;0,4839;0,4839;0,4839
17/11/2001;0,2509;0,5698;0,5698
03/12/2001;0,5669;0,6557;0,6557
19/12/2001;0,6244;0,7415;0,7415
01/01/2002;0,8274;0,8274;0,8274
17/01/2002;0,6757;0,6757;0,6757
02/02/2002;0,5521;0,6542;0,6542
18/02/2002;0,6327;0,6327;0,6327
06/03/2002;0,6534;0,6534;0,6534
22/03/2002;0,6447;0,6447;0,6447
07/04/2002;0,444;0,444;0,4814
23/04/2002;0,4814;0,4814;0,4814
09/05/2002;0,4276;0,4276;0,4276
25/05/2002;0,3966;0,3966;0,3966
10/06/2002;0,3245;0,3245;0,3245
26/06/2002;0,2781;0,2781;0,286
12/07/2002;0,286;0,286;0,286
28/07/2002;0,2863;0,2863;0,2863
13/08/2002;0,2629;0,2629;0,2629
29/08/2002;0,2694;0,2694;0,2694
14/09/2002;0,3221;0,3221;0,3221
30/09/2002;0,2761;0,2761;0,2761
16/10/2002;0,2571;0,2571;0,2761
01/11/2002;0,4557;0,4557;0,4557
17/11/2002;0,5274;0,5274;0,5274
03/12/2002;0,7976;0,7976;0,7976
19/12/2002;0,823;0,823;0,823
01/01/2003;0,8517;0,8517;0,8517
17/01/2003;0,592;0,6863;0,6863
02/02/2003;0,675;0,5208;0,5208
18/02/2003;0,3554;0,3554;0,412
06/03/2003;0,412;0,412;0,412
22/03/2003;0,7198;0,7198;0,7198
07/04/2003;0,7459;0,7459;0,7459
23/04/2003;0,6663;0,6663;0,6663
09/05/2003;0,5635;0,5635;0,5635
25/05/2003;0,4829;0,4829;0,4829
10/06/2003;0,3692;0,3692;0,3692
26/06/2003;0,3271;0,3271;0,3271
12/07/2003;0,2974;0,2974;0,2974
28/07/2003;0,2687;0,2687;0,2687
13/08/2003;0,2864;0,2864;0,2864
29/08/2003;0,262;0,262;0,2864
14/09/2003;0,3085;0,3085;0,3085
30/09/2003;0,303;0,303;0,3085
16/10/2003;0,0758;0,4438;0,4438
01/11/2003;0,5846;0,5846;0,5846
17/11/2003;0,6152;0,7155;0,7155
03/12/2003;0,8463;0,8463;0,8463
19/12/2003;0,803;0,8094;0,8094
01/01/2004;0,803;0,7724;0,7724
17/01/2004;0,5416;0,7355;0,7355
02/02/2004;0,1222;0,6986;0,6986
18/02/2004;0,0737;0,6616;0,6616
05/03/2004;0,6247;0,6247;0,6247
21/03/2004;0,5097;0,6725;0,6725
